name,chr,size_mb,src
sim_0001,1,42.50163,simulation (truth)
sim_0001,1,24.856243,simulation (truth)
sim_0001,3,7.974897,simulation (truth)
sim_0001,6,4.157598,simulation (truth)
sim_0001,7,2.502567,simulation (truth)
sim_0001,7,23.032104,simulation (truth)
sim_0001,8,0.975734,simulation (truth)
sim_0001,10,9.925834,simulation (truth)
sim_0002,2,12.809769,simulation (truth)
sim_0002,3,3.520832,simulation (truth)
sim_0002,3,43.777095,simulation (truth)
sim_0002,3,0,simulation (truth)
sim_0002,4,2.545061,simulation (truth)
sim_0002,5,24.39025,simulation (truth)
sim_0002,5,29.862149,simulation (truth)
sim_0002,8,10.817921,simulation (truth)
sim_0002,9,30.885537,simulation (truth)
sim_0002,10,122.757963,simulation (truth)
sim_0003,1,10.052781,simulation (truth)
sim_0003,1,69.436297,simulation (truth)
sim_0003,1,14.845878,simulation (truth)
sim_0003,2,12.343187,simulation (truth)
sim_0003,2,3.732648,simulation (truth)
sim_0003,4,6.998917,simulation (truth)
sim_0003,6,70.424616,simulation (truth)
sim_0003,6,17.139485,simulation (truth)
sim_0003,6,13.57583,simulation (truth)
sim_0003,7,2.163236,simulation (truth)
sim_0003,7,6.532125,simulation (truth)
sim_0003,8,43.568646,simulation (truth)
sim_0003,10,59.045986,simulation (truth)
sim_0003,10,1.56947,simulation (truth)
sim_0004,1,17.602971,simulation (truth)
sim_0004,1,6.065602,simulation (truth)
sim_0004,2,17.051414,simulation (truth)
sim_0004,2,0,simulation (truth)
sim_0004,3,2.54518,simulation (truth)
sim_0004,3,0.805973,simulation (truth)
sim_0004,4,13.276733,simulation (truth)
sim_0004,5,0,simulation (truth)
sim_0004,6,14.594017,simulation (truth)
sim_0004,6,0.042424,simulation (truth)
sim_0004,7,37.156764,simulation (truth)
sim_0004,8,8.82403,simulation (truth)
sim_0005,1,28.079919,simulation (truth)
sim_0005,1,133.019075,simulation (truth)
sim_0005,1,10.476948,simulation (truth)
sim_0005,3,1.145331,simulation (truth)
sim_0005,3,42.716603,simulation (truth)
sim_0005,4,13.361569,simulation (truth)
sim_0005,4,21.760269,simulation (truth)
sim_0005,5,7.762462,simulation (truth)
sim_0005,5,17.476144,simulation (truth)
sim_0005,5,12.046663,simulation (truth)
sim_0005,5,6.150584,simulation (truth)
sim_0005,7,18.620799,simulation (truth)
sim_0006,2,38.217222,simulation (truth)
sim_0006,3,8.950549,simulation (truth)
sim_0006,4,10.731672,simulation (truth)
sim_0006,4,15.185528,simulation (truth)
sim_0006,5,8.78049,simulation (truth)
sim_0006,5,8.653236,simulation (truth)
sim_0006,6,13.321283,simulation (truth)
sim_0006,7,19.214628,simulation (truth)
sim_0006,8,2.799932,simulation (truth)
sim_0006,8,2.078738,simulation (truth)
sim_0006,8,0.296963,simulation (truth)
sim_0006,9,6.321353,simulation (truth)
sim_0006,10,3.09652,simulation (truth)
sim_0007,1,3.011592,simulation (truth)
sim_0007,2,13.446015,simulation (truth)
sim_0007,4,50.095279,simulation (truth)
sim_0007,5,3.308591,simulation (truth)
sim_0007,5,15.270417,simulation (truth)
sim_0007,6,28.509243,simulation (truth)
sim_0007,7,1.145243,simulation (truth)
sim_0007,9,2.375811,simulation (truth)
sim_0007,9,4.794046,simulation (truth)
sim_0007,10,57.391681,simulation (truth)
sim_0008,2,33.508996,simulation (truth)
sim_0008,2,11.919023,simulation (truth)
sim_0008,3,136.548903,simulation (truth)
sim_0008,4,8.3987,simulation (truth)
